Nama,Latitude,Longitude,Tipe,Deskripsi 
Lawang Sewu,-6.9840,110.4105,Wisata Sejarah,Bangunan bersejarah peninggalan 
Belanda dengan banyak pintu. 
Simpang Lima,-6.9929,110.4200,Landmark,"Alun-alun pusat kota Semarang, 
tempat berkumpul populer." 
Masjid Agung Jawa Tengah,-6.9892,110.4452,Tempat Ibadah,Masjid besar dengan 
arsitektur megah dan menara pandang Asmaul Husna. 
Klenteng Sam Poo Kong,-6.9980,110.4030,Tempat Ibadah,Klenteng bersejarah 
peninggalan Laksamana Cheng Ho. 
Brown Canyon,-7.0375,110.4875,Wisata Alam,"Tebing bekas penambangan galian 
C yang unik menyerupai Grand Canyon." 
Lumpia Gang Lombok,-6.9718,110.4255,Kuliner,Salah satu tempat makan lumpia 
legendaris dan otentik di Semarang. 
Kota Lama,-6.9690,110.4250,Wisata Sejarah,"Kawasan cagar budaya dengan 
bangunan-bangunan kuno bergaya Eropa." 
Pantai Marina,-6.9585,110.3875,Wisata Alam,Kawasan pantai rekreasi di bagian 
utara kota. 
Kampoeng Kopi Banaran,-7.2780,110.4010,Wisata Alam,"Agrowisata kebun kopi 
dengan pemandangan dan restoran." 
Toko Oen,-6.9715,110.4235,Kuliner,Restoran dan toko es krim legendaris sejak 
zaman kolonial.
Kota Lama Semarang, -6.9664,110.4228,Tempat Wisata,Kawasan bersejarah dengan arsitektur kolonial yang indah.
Lawang Sewu, -6.9836,110.4089,Tempat Wisata,Bangunan bersejarah peninggalan Belanda dengan banyak pintu.
Simpang Lima, -6.9922,110.4200,Taman Kota,Alun-alun pusat kota Semarang, tempat rekreasi keluarga.
Masjid Agung Jawa Tengah, -6.9675,110.4357,Tempat Ibadah,Masjid megah dengan arsitektur unik.
Kantor Gubernur Jawa Tengah, -6.9840,110.4100,Kantor Pemerintahan,Pusat pemerintahan Provinsi Jawa Tengah.
Museum Ronggowarsito, -6.9800,110.3850,Museum,Museum provinsi yang menyimpan koleksi budaya dan sejarah.
PRPP Jawa Tengah, -6.9880,110.3750,Pusat Konvensi,Pusat pameran dan rekreasi di Semarang.
